Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
C1q deficiency due to defects in C1QA	C1QA	AR		120550	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C1q deficiency due to defects in C1QB	C1QB	AR		120570	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C1q deficiency due to defects in C1QC	C1QC	AR		120575	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C1r deficiency	C1R	AR		613785	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms, Ehlers Danlos phenotype "	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C1r Periodontal Ehlers Danlos	C1R	AD 	GOF	613785	Normal 	Normal	Normal	Normal		"Normal CH50, Hyperpigmentation, skin fragility"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0000704		
C1s deficiency	C1S	AR		120580	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms, Ehlers Danlos phenotype "	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C1s Periodontal Ehlers Danlos	C1S	AD 	GOF	613785	Normal 	Normal	Normal	Normal		"Normal CH50, Hyperpigmentation, skin fragility"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0000704		
C2 deficiency	C2	AR		217000	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms, atherosclerosis"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C2orf69 deficiency	C2orf69	AR								"Brain abnormalities (hypomyelination, microcephaly), liver dysfunction,
severe and recurrent autoinflammation, leukoencephalopathy with recurrent seizures. Often fatal"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
C3 deficiency (LOF)	C3	AR		120700	Normal 	Normal	Normal	Normal		"Infections , glomerulonephritis, atypical hemolytic-uremic syndrome with GOF mutations."	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0000793	
C3 GOF	C3	AD  	GOF	120700	Normal 	Normal	Normal	Normal		"Atypical hemolytic-uremic syndrome , dense deposit disease"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005575	
Complete C4 deficiency	C4A+C4B	AR		120810	Normal 	Normal	Normal	Normal		"SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0002725	
C5 deficiency	C5	AR		120900	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C6 deficiency	C6	AR		217050	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C7 deficiency	C7	AR		217070	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C8a deficiency	C8A	AR		120950	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C8b?deficiency	C8B	AR		120960	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C8g deficiency	C8G	AR		120930	Normal 	Normal	Normal	Normal		Disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
C9 deficiency	C9	AR		120940	Normal 	Normal	Normal	Normal		Mild susceptibility to disseminated neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718	HP:0005381	
CARD11 DN LOF	CARD11	AD 	DN	607210	"Normal numbers, low mitogens"	Normal numbers	"High IgE, poor specific antibody production "			"Severe atopy, recurrent infections"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
CARD11 GOF  	CARD11	AD 	GOF	607210		High				"Splenomegaly, lymphadenopathy, poor vaccine response"	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.03	D80.9	HP:0002715	HP:0004313		
CARD11 deficiency (LOF)	CARD11 	AR		615206	"Nl number, predominant naïve T-cells, poor proliferation "	"Normal, transitional B cell predominance "				"Pneumocystis jirovecii pneumonia, bacterial and viral infections "	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
CAMPS (CARD14 mediated psoriasis)	CARD14 	AD		602723					Mainly in keratinocytes	Psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
CARD9 deficiency 	CARD9	AR		607212	Normal 	Normal	Normal	Normal	Mononuclear phagocytes	"Invasive candidiasis infection, deep dermatophytoses, other invasive fungal infections"	Table 6 Defects in intrinsic and innate immunity	Subtable 5 Predisposition to invasive fungal infections	279.9	D89.9	HP:0002715	HP:0002841	HP:0020100	
RLTPR (CARMIL2) deficiency	CARMIL2	AR		610859	"Nl number, low Treg, high CD4, poor function"	Nl number				"Recurrent bacterial, fungal and mycobacterial infections, viral warts, molluscum and EBV lymphoproliferative and other malignancy, atopy"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
ALPS-Caspase10	CASP10	AD		601762	Increased DN T cells 	Normal	Normal 	Normal		"Adenopathies, splenomegaly, autoimmunity"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
ALPS-Caspase 8	CASP8	AR		601763	Slightly increased DN T cells	Normal	Low	Normal		"Adenopathies, splenomegaly, bacterial and viral infections"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
CBLB deficiency	CBLB	AR		620430	"Normal, hyperproliferative"	Normal				Autoimmune polyendocrinopathy	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Hennekam-lymphangiectasia-lymphedema syndrome due to CCBE1 deficiency	CCBE1	AR		612753	Low/variable	Low/variable				Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842		
CCR2 deficiency	CCR2	AR							Monocytes affected	"Pulmonary alveolar proteinosis, polycystic  lung disease"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0004322		
CD19 deficiency	CD19	AR		107265			Low			"Recurrent infections, may have glomerulonephritis"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CD20 deficiency	CD20	AR		112210			Low			Recurrent infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CD21 deficiency	CD21	AR		120650			Low			Recurrent infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CD3z deficiency 	CD247	AR		 186780	Very low	Normal	Low	Normal	No g/d T cells		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
CD27 deficiency	CD27 	AR		615122	Normal 	No memory B cells 		Normal	Low iNKT	"Features triggered by EBV infection, HLH, aplastic anemia, lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
PD-L1 deficiency	CD274	AR			Normal with high DR	Low switched memory B cells			Low MAITs	Neonatal onset autoimmunity	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
CD28 deficiency	CD28	AR			Normal numbers of T and myeloid cells with decreased NK cells	Normal numbers of total B cells and subsets	"Normal serum IgM, G, A; • intact levels of pathogen-spec IgG"			HPV susceptibility	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842		
CD3d deficiency	CD3D	AR		186790	Very low	Normal	Low	Normal	No g/d T cells		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
CD3e deficiency	CD3E 	AR		186830	Very low	Normal	Low	Normal	No g/d T cells		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
CD3g deficiency	CD3G 	AR		186740	"Nl number, but low TCR expression"	Normal	Nl				Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
CD40 deficiency	CD40 (TNFRSF5) 	AR		109535	Normal	"sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells"	"IgM nl or high low IgG, IgA"	Variable		"Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.05	D80.5	HP:0002715	HP:0005403		
CD40 ligand deficiency (CD154)	CD40LG (TNFSF5)	XL		300386	Nl to low	"sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells"	"IgM nl or high low IgG, IgA"	Variable		"Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.05	D80.5	HP:0002715	HP:0005403		
Membrane Cofactor Protein (CD46) deficiency	CD46	AD		120920	Normal 	Normal	Normal	Normal		"Atypical hemolytic-uremic syndrome, infections, preeclampsia"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
Membrane Cofactor Protein (CD46) deficiency	CD46	AR		120920	Normal 	Normal	Normal	Normal		"Atypical hemolytic-uremic syndrome, infections, preeclampsia"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
CD55 deficiency (CHAPEL disease)	CD55	AR		125240	Normal 	Normal	Low	Normal		"Protein losing enteropathy, thrombosis"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002243	HP:0001977	
Membrane Attack Complex Inhibitor (CD59) deficiency	CD59	AR		107271	Normal 	Normal	Normal	Normal		"Hemolytic anemia, polyneuropathy, thrombosis"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0001878	HP:0001977	
CD70 deficiency	CD70 	AR		602840	"Nl number, low Treg, poor activation and function"	"Nl number, poor antibody and memory responses"		Normal		"EBV susceptibility, Hodgkin lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
Iga deficiency	CD79A	AR		112205	Normal 	Very low	Very low			"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
Igb deficiency	CD79B	AR		147245	Normal 	Very low	Very low			"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
CD81 deficiency	CD81	AR		186845			Low			"Recurrent infections, may have glomerulonephritis"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
CD8 deficiency	CD8A 	AR		186910	"Absent CD8, nl CD4"	Normal	Nl			"Recurrent infections, may be asymptomatic"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
CDC42 defects	CDC42	AD			Variable T cell counts	Variable	Variable		Low NK function	"Neonatal onset pancytopenia, fever, rash, HSM, HLH, myelofibrosis, developemntal delay, FTT.  Recognized mutation-phenotype associations"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
"Immunodeficiency with centromeric instability and facial anomalies, ICF3 "	CDCA7	AR		609937	responses to PHA may be decreased	Decreased or normal	"Variably low IgG, IgA"			"Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
Specific granule deficiency	CEBPE	AR	GOF	189965				Low		Neutrophils with bilobed nuclei	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252		
CEBPE defects	CEBPE	AR		245480					Mild bleeding diathesis	"Recurrent abdominal pain, aseptic fevers, inflammation, abscesses, type I IFN signature"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0010280		
Factor B GOF	CFB	AD 	GOF	138470	Normal 	Normal	Normal	Normal		Atypical Hemolytic-uremic syndrome	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
Factor B LOF	CFB	AR		138470	Normal 	Normal	Normal	Normal		Infections with encapsulated organisms	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
Factor D deficiency	CFD	AR		134350	Normal 	Normal	Normal	Normal		Neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
Factor H deficiency	CFH	AR		134370	Normal 	Normal	Normal	Normal		"Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia, dense deposit disease"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
