LOC128237006	uncharacterized LOC128237006
LOC128242497	uncharacterized LOC128242497
LOC128224018	uncharacterized LOC128224018
LOC128224085	integrin beta-6-like
LOC128224151	integrin beta-6-like
LOC128224215	integrin beta-like protein 1
LOC128224296	SCO-spondin-like
LOC128224386	SCO-spondin-like
LOC128231599	uncharacterized LOC128231599
LOC128231602	mucin-16-like
LOC128230753	uncharacterized LOC128230753
LOC128240139	trichohyalin-like
LOC128234215	uncharacterized LOC128234215
LOC128244186	coiled-coil domain-containing protein 177-like
Trnat-agu	transfer RNA threonine (anticodon AGU)
LOC128236505	INO80 complex subunit C-like
LOC128238127	tRNA (guanine(10)-N2)-methyltransferase homolog
LOC128238143	uncharacterized LOC128238143
LOC128238136	uncharacterized LOC128238136
LOC128232420	uncharacterized LOC128232420
LOC128232426	uncharacterized LOC128232426
LOC128232434	uncharacterized LOC128232434
LOC128237294	uncharacterized LOC128237294
LOC128229392	uncharacterized LOC128229392
LOC128240647	probable G-protein coupled receptor 139
LOC128224554	probable G-protein coupled receptor 139
LOC128224632	cerebrin prohormone-like
LOC128228667	14-3-3 protein beta/alpha-1-like
LOC128212070	kinetochore protein Spc25-like
LOC128232761	ras-related protein Rab-18A-like
LOC128240876	uncharacterized LOC128240876
LOC128233388	uncharacterized LOC128233388
LOC128229271	uncharacterized LOC128229271
LOC128229292	piggyBac transposable element-derived protein 4-like
LOC128238749	solute carrier family 23 member 1-like
LOC128224704	uncharacterized LOC128224704
LOC128237406	uncharacterized LOC128237406
LOC128212972	sodium/potassium/calcium exchanger 4-like
LOC128219555	uncharacterized LOC128219555
LOC128236478	steryl-sulfatase-like
Trnaa-agc	transfer RNA alanine (anticodon AGC)
LOC128234747	steryl-sulfatase-like
LOC128218977	uncharacterized LOC128218977
LOC128218894	uncharacterized LOC128218894
LOC128219225	uncharacterized LOC128219225
LOC128224840	uncharacterized LOC128224840
LOC128219125	uncharacterized LOC128219125
LOC128219431	uncharacterized LOC128219431
LOC128212194	uncharacterized LOC128212194
LOC128224928	uncharacterized LOC128224928
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
LOC128234443	integral membrane protein GPR155-like
LOC128229883	WAS/WASL-interacting protein family member 1-like
LOC128239857	uncharacterized LOC128239857
LOC128225054	uncharacterized LOC128225054
LOC128225064	uncharacterized LOC128225064
LOC128230253	scavenger receptor cysteine-rich type 1 protein M130-like
LOC128210854	uncharacterized LOC128210854
LOC128233442	elongator complex protein 2-like
LOC128236914	uncharacterized LOC128236914
LOC128227345	testis-expressed protein 10 homolog
LOC128236895	uncharacterized LOC128236895
LOC128233059	sperm-associated antigen 6
LOC128232069	coiled-coil domain-containing protein 148-like
LOC128232077	UPF0415 protein C7orf25 homolog
LOC128232103	uncharacterized LOC128232103
LOC128225071	uncharacterized LOC128225071
LOC128225080	uncharacterized LOC128225080
LOC128225089	UPF0415 protein C7orf25 homolog
LOC128225097	uncharacterized LOC128225097
LOC128225112	uncharacterized LOC128225112
LOC128225122	uncharacterized LOC128225122
LOC128225137	uncharacterized LOC128225137
LOC128225147	uncharacterized LOC128225147
LOC128234727	uncharacterized LOC128234727
LOC128237246	uncharacterized LOC128237246
LOC128236735	uncharacterized LOC128236735
LOC128225156	uncharacterized LOC128225156
LOC128243035	perlucin-like protein
LOC128225173	proprotein convertase subtilisin/kexin type 5-like
LOC128225181	uncharacterized LOC128225181
LOC128240195	multiple epidermal growth factor-like domains protein 10
LOC128229406	uncharacterized LOC128229406
LOC128237444	endoprotease aex-5-like
LOC128225188	endoprotease aex-5-like
LOC128238555	uncharacterized LOC128238555
LOC128225195	neuroendocrine convertase 2-like
LOC128232065	uncharacterized LOC128232065
LOC128240912	endoprotease aex-5-like
LOC128225202	histidine-rich glycoprotein-like
LOC128236240	uncharacterized LOC128236240
LOC128239959	uncharacterized LOC128239959
LOC128216083	endoprotease aex-5-like
LOC128235029	radical S-adenosyl methionine domain-containing protein 2-like
LOC128245451	uncharacterized LOC128245451
LOC128239966	integumentary mucin C.1-like
LOC128240339	F-box only protein 47-like
LOC128240346	uncharacterized LOC128240346
Trnat-agu	transfer RNA threonine (anticodon AGU)
Trnat-agu	transfer RNA threonine (anticodon AGU)
LOC128233657	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
LOC128225213	secretin receptor-like
LOC128225222	sulfotransferase 1A1-like
LOC128225231	putative nuclease HARBI1
LOC128225238	uncharacterized LOC128225238
LOC128211557	uncharacterized LOC128211557
LOC128202874	uncharacterized LOC128202874
LOC128246522	uncharacterized LOC128246522
LOC128243558	twist-related protein-like
LOC128230343	fatty-acid amide hydrolase 1-like
LOC128236315	signal peptide peptidase-like 2B
LOC128238972	uncharacterized LOC128238972
LOC128238852	uncharacterized LOC128238852
LOC128239183	complement C1q-like protein 4
LOC128235848	uncharacterized LOC128235848
LOC128238295	uncharacterized LOC128238295
LOC128238280	hemicentin-1-like
LOC128238292	uncharacterized LOC128238292
LOC128210589	hemicentin-1-like
LOC128241071	slit homolog 2 protein-like
LOC128203777	SCO-spondin-like
LOC128231296	aquaporin-11-like
LOC128236461	uncharacterized LOC128236461
LOC128240580	uncharacterized LOC128240580
LOC128240600	uncharacterized LOC128240600
LOC128238816	wolframin-like
LOC128238833	wolframin-like
LOC128238824	wolframin-like
LOC128228836	uncharacterized LOC128228836
LOC128238302	uncharacterized LOC128238302
LOC128207928	uncharacterized LOC128207928
LOC128235883	sodium-dependent glucose transporter 1-like
LOC128237936	natural resistance-associated macrophage protein 2-like
LOC128230257	partitioning defective 3 homolog
LOC128238065	MOB-like protein phocein
LOC128231316	uncharacterized LOC128231316
LOC128228635	uncharacterized LOC128228635
LOC128211189	dipeptidase 1-like
LOC128211235	uncharacterized LOC128211235
LOC128231501	dipeptidase 1-like
LOC128228597	aladin-like
LOC128231406	CD109 antigen-like
LOC128215447	CD109 antigen-like
LOC128244675	uncharacterized LOC128244675
LOC128240500	uncharacterized LOC128240500
LOC128240525	uncharacterized LOC128240525
LOC128224324	tRNA N6-adenosine threonylcarbamoyltransferase%2C mitochondrial-like
LOC128219224	glycine--tRNA ligase-like
LOC128225254	uncharacterized LOC128225254
LOC128222193	dipeptidase 1-like
LOC128221370	dipeptidase 1-like
LOC128219984	aladin-like
LOC128225263	CD109 antigen-like
LOC128217799	CD109 antigen-like
LOC128217087	uncharacterized LOC128217087
LOC128225285	uncharacterized LOC128225285
LOC128225270	putative nuclease HARBI1
LOC128223647	uncharacterized LOC128223647
LOC128225286	uncharacterized LOC128225286
LOC128225302	uncharacterized LOC128225302
LOC128225318	uncharacterized LOC128225318
LOC128240350	uncharacterized LOC128240350
LOC128230544	tRNA N6-adenosine threonylcarbamoyltransferase%2C mitochondrial-like
LOC128230543	glycine--tRNA ligase-like
LOC128230548	uracil-DNA glycosylase-like
LOC128232901	uracil-DNA glycosylase-like
LOC128233481	ATP-dependent RNA helicase DHX8-like
LOC128245563	cilia- and flagella-associated protein 69-like
LOC128231955	uncharacterized LOC128231955
LOC128225349	uncharacterized LOC128225349
LOC128234553	uncharacterized LOC128234553
LOC128207975	uncharacterized LOC128207975
Trnaa-agc	transfer RNA alanine (anticodon AGC)
LOC128225365	uncharacterized LOC128225365
LOC128225381	uncharacterized LOC128225381
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
Trnaa-agc	transfer RNA alanine (anticodon AGC)
LOC128231992	uncharacterized LOC128231992
LOC128231999	uncharacterized LOC128231999
LOC128232007	solute carrier family 28 member 3-like
LOC128232013	zinc finger protein 208-like
LOC128237722	zinc finger protein ZFP2-like
LOC128230553	tubulin alpha-1A chain-like
LOC128232327	methylmalonyl-CoA mutase%2C mitochondrial-like
LOC128235454	dihydrofolate reductase-like
LOC128241026	uncharacterized LOC128241026
LOC128229809	UMP-CMP kinase 2%2C mitochondrial-like
LOC128230886	reversion-inducing cysteine-rich protein with Kazal motifs-like
LOC128230238	transcriptional repressor NF-X1-like
LOC128230246	DNA ligase 1-like
LOC128229186	UPF0538 protein C2orf76 homolog
LOC128229203	uncharacterized LOC128229203
LOC128229190	uncharacterized LOC128229190
LOC128240326	uncharacterized LOC128240326
LOC128225413	uncharacterized LOC128225413
