pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	9.44439729817261e-05	0.0154464746155975	0.538434096309916	0.723617608801543	1.95605229788437	35	GO:0034162
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	0.000100479833032422	0.0158858616024259	0.538434096309916	0.670047811046016	1.92212325290798	48	GO:1903708
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS	0.000114654078703345	0.0166470702639785	0.538434096309916	0.768550687488635	1.97099680343577	25	GO:0043620
GOMF_HYALURONONGLUCOSAMINIDASE_ACTIVITY	0.000111192990485012	0.0166470702639785	0.538434096309916	0.961307217934583	1.71086023204737	5	GO:0004415
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.000123841070417221	0.0171335815818725	0.518848077743792	0.735359798274307	1.9675862540087	31	GO:0002286
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.000123841070417221	0.0171335815818725	0.518848077743792	0.735359798274307	1.9675862540087	31	GO:0002292
GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.000125807308217632	0.0172126171983528	0.518848077743792	0.866002094563344	1.91722980528637	13	GO:0072538
GOMF_HEPARIN_BINDING	0.000141999246382961	0.0188832455774127	0.518848077743792	0.540439020900672	1.77653559584676	110	GO:0008201
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.00014683695069702	0.0193457682543324	0.518848077743792	0.416640813653569	1.55424201750456	384	GO:0003700
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.000157445135284545	0.020182764233908	0.518848077743792	0.787916369189778	1.94679391268017	22	GO:0010573
GOBP_POSITIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	0.000162903164880844	0.0205683989572242	0.518848077743792	0.882253190618557	1.91854444014049	12	GO:1902932
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.000169671711013704	0.0211777085615262	0.518848077743792	0.469925577732784	1.64727902475631	196	GO:0005201
GOBP_LIPID_METABOLIC_PROCESS	0.000172016013076645	0.0211929895703936	0.518848077743792	0.3720895088251	1.42827666501961	632	GO:0006629
GOMF_SULFUR_COMPOUND_BINDING	0.000185690414287218	0.0222032681083431	0.518848077743792	0.487585300166864	1.69235045015296	173	GO:1901681
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	0.000190398161454371	0.0225764619944521	0.518848077743792	0.450486498355359	1.62886364362747	270	GO:0043604
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.00020333054550027	0.0231455226553867	0.518848077743792	0.75313362901977	1.93145878277534	25	GO:0043367
GOCC_CHROMATIN	0.000199351519347993	0.0231455226553867	0.518848077743792	0.386606866148122	1.46262959615066	510	GO:0000785
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.000206898426461812	0.0233647437311518	0.518848077743792	0.353303965471695	1.38332403309566	891	GO:0044419
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	0.00021212330243944	0.023766161184337	0.518848077743792	0.520078680957827	1.7136632494114	119	GO:0034612
GOBP_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT	0.000219564611553946	0.0242184872697759	0.518848077743792	0.999908533796762	1.33855247170599	1	GO:0060481
GOBP_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT	0.000219564611553946	0.0242184872697759	0.518848077743792	0.999908533796762	1.33855247170599	1	GO:0010455
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	0.000236502251107055	0.0254617333294096	0.518848077743792	0.954007808622588	1.69786930794284	5	GO:0140467
GOBP_T_HELPER_17_CELL_DIFFERENTIATION	0.000237936641963012	0.0254617333294096	0.518848077743792	0.877579548271297	1.90838115522876	12	GO:0072539
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	0.000242963781657087	0.0257994899193933	0.518848077743792	0.387186102687031	1.46172287589899	468	GO:0043603
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	0.000329154077653702	0.0314331098720438	0.49849310876659	0.357129354768638	1.38827927516565	745	GO:0045595
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	0.000355050428835799	0.0326619446687673	0.49849310876659	0.989242457260993	1.54498039216085	3	GO:0032959
GOBP_POSITIVE_REGULATION_OF_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	0.000355050428835799	0.0326619446687673	0.49849310876659	0.989242457260993	1.54498039216085	3	GO:0032962
GOBP_REGULATION_OF_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	0.000355050428835799	0.0326619446687673	0.49849310876659	0.989242457260993	1.54498039216085	3	GO:0032960
GOBP_TISSUE_DEVELOPMENT	0.000356130120203563	0.0326619446687673	0.49849310876659	0.340779777451705	1.34079238335519	970	GO:0009888
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.000385516452762616	0.0338997463931663	0.49849310876659	0.364445853364623	1.39668457788713	623	GO:0045944
GOBP_REGULATION_OF_LIPID_STORAGE	0.000403640528033526	0.0348084913538729	0.49849310876659	0.706218999814525	1.89906872044411	33	GO:0010883
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.000418596167693926	0.0354076609367737	0.49849310876659	0.746833326957474	1.92071869303854	26	GO:0035710
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	0.000424412866421905	0.0355233569195135	0.49849310876659	0.579988106358921	1.7602225282964	67	GO:0045667
GOBP_DEFENSE_RESPONSE	0.000458219293726038	0.0376447739863978	0.49849310876659	0.3568180375393	1.38704991123091	752	GO:0006952
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.000467948201288333	0.0376447739863978	0.49849310876659	0.690138937805552	1.86555418045978	35	GO:0045621
GOBP_RHYTHMIC_PROCESS	0.00046827781260752	0.0376447739863978	0.49849310876659	0.486310641009267	1.64211761395307	142	GO:0048511
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	0.000498782342333865	0.0398717637588121	0.477270815362862	0.897968840422602	1.74213514539327	8	GO:0070498
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.000502433384221341	0.0399392437099747	0.477270815362862	0.430080894316409	1.54126596646419	246	GO:0001819
GOBP_CELL_DIFFERENTIATION_IN_HINDBRAIN	0.000557792108270946	0.0427136907009248	0.477270815362862	0.834530316370343	1.84755488006877	13	GO:0021533
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.000560444643770075	0.0427136907009248	0.477270815362862	0.423684169988797	1.54704738507057	294	GO:0062023
GOBP_CHONDROCYTE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	0.000574318983940745	0.043468004374962	0.477270815362862	0.816143065528653	1.86865348729732	15	GO:0003433
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.000581474998825819	0.0437767606258867	0.477270815362862	0.37906945861533	1.43593540342114	501	GO:0051241
HP_HEMOPHAGOCYTOSIS	0.000592568372215497	0.0441447925039493	0.477270815362862	0.893416746383077	1.73330369974126	8	HP:0012156
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	0.000659112860236208	0.0469622621512477	0.477270815362862	0.520353541011236	1.6976578888716	106	GO:0016051
GOBP_REGULATION_OF_BIOMINERALIZATION	0.000662622900007343	0.0469622621512477	0.477270815362862	0.573936545161334	1.75432869066681	69	GO:0110149
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0.000691953613514401	0.0483696210645224	0.477270815362862	0.64636486516893	1.81904083975025	44	GO:0002088
GOBP_LIPID_STORAGE	0.000767736096010675	0.0517730659248146	0.477270815362862	0.590613993655912	1.76987776982905	63	GO:0019915
GOMF_STEROID_BINDING	0.000792396373324701	0.0524418976559868	0.477270815362862	0.575861497395527	1.75412399134877	68	GO:0005496
GOBP_POSITIVE_REGULATION_OF_ANION_TRANSPORT	0.000818297572004445	0.0534108080369323	0.477270815362862	0.743350064145198	1.87088606174341	23	GO:1903793
GOCC_LEWY_BODY	0.00082666193921562	0.053710377776708	0.477270815362862	0.932810818234562	1.72090709024546	6	GO:0097413
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	0.000831914500308662	0.0538059610222361	0.477270815362862	0.379793567969946	1.42960498587758	443	GO:0002520
GOBP_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY	0.000850075138800676	0.0542408930493041	0.477270815362862	0.716129215426079	1.87509833258286	28	GO:0034138
GOBP_BONE_MINERALIZATION	0.000876152946208224	0.0554079123182081	0.477270815362862	0.520965782340722	1.69129768105314	99	GO:0030282
GOBP_CELL_ACTIVATION	0.000903169954006332	0.0558923824037088	0.477270815362862	0.380565505403623	1.43356038928668	452	GO:0001775
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	0.00092179172302111	0.0562925941067269	0.477270815362862	0.818095120764725	1.81116923265681	13	GO:0032743
GOBP_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	0.00092179172302111	0.0562925941067269	0.477270815362862	0.819536514774325	1.81436031449566	13	GO:0034134
HP_PHARYNGITIS	0.00092179172302111	0.0562925941067269	0.477270815362862	0.818088131079614	1.81115375829167	13	HP:0025439
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.00095808914773756	0.0574287459997211	0.477270815362862	0.355573814542291	1.37288673118109	677	GO:0051240
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_CELLULAR_RESPONSE_TO_CHEMICAL_STIMULUS	0.000964612431930097	0.0574287459997211	0.477270815362862	0.875526133951664	1.76173138958164	9	GO:1901522
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.000956741787697419	0.0574287459997211	0.477270815362862	0.801107351576432	1.84934963584471	16	GO:0010575
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	0.0010088901656357	0.0595663824349806	0.45505986738723	0.474052755227483	1.60120339266239	143	GO:1903131
GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.0010370785833856	0.06047783263522	0.45505986738723	0.4227280401587	1.53026098238989	274	GO:0044283
GOBP_LUNG_EPITHELIUM_DEVELOPMENT	0.00107425339326998	0.0623900062564842	0.45505986738723	0.746456563662948	1.81631687900566	21	GO:0060428
GOCC_LEADING_EDGE_MEMBRANE	0.0011131614778871	0.0636111432484158	0.45505986738723	0.509951767867071	1.67773806092761	111	GO:0031256
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.00113837293457224	0.06398119747873	0.45505986738723	0.352016061235027	1.35963934804566	678	GO:1901701
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0.00114211990720342	0.06398119747873	0.45505986738723	0.617841341863176	1.77236189750275	48	GO:0035967
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.00113533617465311	0.06398119747873	0.45505986738723	0.872136082732143	1.75490993741234	9	GO:2000516
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.00113533617465311	0.06398119747873	0.45505986738723	0.872136082732143	1.75490993741234	9	GO:0043372
HP_ABNORMAL_MACROPHAGE_MORPHOLOGY	0.00112951671109797	0.06398119747873	0.45505986738723	0.75771301435169	1.8298931042166	20	HP:0004311
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.00117493987067242	0.0655255883437509	0.45505986738723	0.3926677462662	1.46221568823449	370	GO:0000987
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	0.00132204647398253	0.0712553002965813	0.45505986738723	0.332319819403983	1.30540011698509	951	GO:0031328
GOBP_INTERLEUKIN_2_PRODUCTION	0.00136026334571805	0.0727638614519629	0.45505986738723	0.718252113608029	1.84721304088233	26	GO:0032623
GOBP_MYELOID_LEUKOCYTE_MIGRATION	0.00140874291032514	0.0739668002620533	0.45505986738723	0.588001680878743	1.75892199324481	61	GO:0097529
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	0.00144745338528967	0.075208820008099	0.45505986738723	0.428287185196417	1.51873633524228	217	GO:0043043
