gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128232320	PSD11	3.49721547231334e-64	4186.44079119053	-17.2596669805158	-2.09472537811684	26S proteasome non-ATPase regulatory subunit 11-like
LOC128225693	NA	4.79856705342108e-64	266.618462143494	-17.2401974347016	-11.6108141940471	uncharacterized LOC128225693
LOC128230822	ZN596	4.90305570606273e-64	90.09481205056	-17.2383651037705	-9.84994221821357	zinc finger protein 835-like
LOC128226824	NA	5.09941467056728e-64	42.4062619868385	-17.235513487689	-5.15880852817812	uncharacterized LOC128226824
LOC128206336	NA	1.28784163384838e-63	53.2506801333374	-17.1807099136726	-4.43220667824386	uncharacterized LOC128206336
LOC128222718	NA	1.88491126424807e-63	77.4365596022768	-17.1580324809494	-9.43978532995369	uncharacterized LOC128222718
LOC128215194	NA	2.10991075363004e-63	73.2963505739746	-17.1509197624766	-9.9380106018762	rho GTPase-activating protein gacF-like
LOC128225672	NA	2.25806832785226e-63	158.583687854014	-17.1464195382906	-9.1823964533313	uncharacterized LOC128225672
LOC128210587	ADA1B	1.11888870834519e-62	230.240776377069	-17.0520411688191	-10.1712014948193	alpha-1A adrenergic receptor-like
LOC128217281	COQ2	2.56487096886337e-62	1186.38532799475	-17.0024032535664	-3.05560750647071	4-hydroxybenzoate polyprenyltransferase%2C mitochondrial-like
LOC128221732	CHS	9.27550524353263e-62	120.940498431885	-16.9263527754121	-9.89499792388874	chitin synthase chs-1-like
LOC128221577	CD209	9.86214847317779e-62	134.450502384652	-16.9222088105495	-10.4283133752457	C-type lectin domain family 10 member A-like
LOC128231051	RFX6	1.1649414866298e-61	52.8804462950746	-16.9118693185336	-6.51541354233417	DNA-binding protein RFX6-like
LOC128206516	Y1319	1.92797087220654e-61	144.187994833661	-16.8816322047594	-8.80424433187876	uncharacterized sodium-dependent transporter YhdH-like
LOC128211245	TDRD1	2.3777957344913e-61	2349.46112245856	-16.8687282214345	-3.1018292457194	tudor domain-containing 6-like
LOC128217410	NOTC1	6.56352638053857e-61	90.3811772506423	-16.8070997514453	-9.66262723367736	neurogenic locus notch homolog protein 1-like
LOC128244308	RBFA	2.56493251488171e-60	52.769803394681	-16.7250841425478	-5.63888823814706	uncharacterized LOC128244308
LOC128224756	IMSP5	2.96396473951283e-60	55.4842072348659	-16.7159682492385	-9.34201407222583	uncharacterized LOC128224756
LOC128204083	NA	6.5387316504203e-60	892.320242664417	-16.6677485580569	-8.3671599747036	uncharacterized LOC128204083
LOC128231280	PI4KA	7.89252388913546e-60	3225.48731821005	-16.6555225858457	-3.56225791153244	phosphatidylinositol 4-kinase alpha-like
LOC128233939	NA	8.24172306958956e-60	186.210272160978	-16.6524516966872	-9.31841472458878	uncharacterized LOC128233939
LOC128220065	CAHZ	1.00057073309442e-59	60.2355665219696	-16.640365396653	-9.26653982730527	uncharacterized LOC128220065
LOC128244961	NA	1.05894836883986e-59	358.364729618186	-16.6364960404457	-7.37130700015347	uncharacterized LOC128244961
LOC128226164	NA	1.99111232811823e-59	135.857531944823	-16.5976971936654	-8.30399565458949	uncharacterized LOC128226164
LOC128236253	RBM42	3.32219814474894e-59	1849.63684043914	-16.5655532964298	-2.59047663863413	RNA-binding protein 42-like
LOC128215873	NA	4.78214143116074e-59	39.1329760708877	-16.5427233287496	-6.43349399297401	uncharacterized LOC128215873
LOC128228192	FBN2	9.46777632831242e-59	9566.22995524054	-16.5006397271398	-7.21787455751382	fibrillin-2-like
LOC128213005	INT1	1.98845357703208e-58	1616.03552642227	-16.4540164684653	-2.81696264098607	integrator complex subunit 1-like
LOC128228971	S2545	6.08744291694013e-58	72.2529830606685	-16.3852635138471	-9.53024998598248	solute carrier family 25 member 45-like
LOC128218292	POL5	1.90787185037781e-57	327.490430445436	-16.3148016546395	-6.07372776378861	uncharacterized LOC128218292
LOC128214500	LSM4	2.39684419840616e-57	2775.50390891999	-16.300019534867	-2.69824838601949	U6 snRNA-associated Sm-like protein LSm4
LOC128245684	NA	3.94268253904147e-57	869.247616599766	-16.268325191513	-4.21462855434619	uncharacterized LOC128245684
LOC128230949	NA	1.69181480807717e-56	117.900010296132	-16.1764531931007	-10.044688242656	uncharacterized LOC128230949
LOC128207781	UNC42	3.00130928404741e-56	40.2251136111426	-16.1395390548362	-9.06870679159736	homeobox protein unc-42-like
LOC128219326	NA	4.95416208117743e-56	317.995948554804	-16.1078014878888	-7.75307268508714	uncharacterized LOC128219326
LOC128237602	UPL1	5.73078833669177e-56	70.3625263247072	-16.0984096221652	-8.93002059754903	uncharacterized LOC128237602
LOC128244161	NA	7.0967925173244e-56	57.2348571597267	-16.0844147785568	-6.86635053256172	uncharacterized LOC128244161
LOC128207929	ZN648	1.53449797371384e-55	925.853648287136	-16.0358307984642	-2.23453547051258	uncharacterized LOC128207929
LOC128211543	U520	1.54706159512521e-55	8303.65875503952	-16.0349511381343	-2.48603725271212	U5 small nuclear ribonucleoprotein 200 kDa helicase-like
LOC128230538	DRAM2	2.07464907970803e-55	431.469608836459	-16.0152393228116	-9.80602931898071	DNA damage-regulated autophagy modulator protein 2-like
LOC128244392	NA	3.743802135473e-55	210.229552150588	-15.9770387107541	-9.09536573399716	uncharacterized LOC128244392
LOC128204486	NA	3.9854402567775e-55	82.9117449515531	-15.9724299611802	-9.92364511998204	uncharacterized LOC128204486
LOC128242898	NA	4.99834935352236e-55	272.810454807608	-15.9575991441181	-9.5554115752528	uncharacterized LOC128242898
LOC128246059	TM209	5.35420433301597e-55	83.5528027127759	-15.9526116859092	-4.77473844131111	transmembrane protein 209-like
LOC128220393	TPP2	8.5727992939225e-55	2405.05789732341	-15.9228477995942	-1.95257994286082	tripeptidyl-peptidase 2-like
LOC128214920	APOB	9.37314013721114e-55	254.669242578602	-15.9165793317855	-4.17301535075405	uncharacterized LOC128214920
LOC128204154	NA	9.54102802011982e-55	29.5955284714924	-15.9151290343776	-5.79102041825073	uncharacterized LOC128204154
LOC128244275	NA	1.04174160151408e-54	694.66246048021	-15.9092904643306	-8.28751237525886	uncharacterized LOC128244275
